|   affiliation_no | name_of_institution                                    | state       | district          | postal_address                                                                                                                 |   pin_code | website                                            |   year_of_foundation | date_of_first_opening_of_school   | head_of_institution         | status_of_the_school   | school_type   | affiliation_period_start   | affiliation_period_end   | remarks   |
|          2480002 | ARMY PUBLIC SCHOOL                                     | WEST BENGAL | DARJEELING        | P.O. BENGDUBI DISTT DARJEELING WEST BENGAL                                                                                     |     734424 | www.apsbengdubi.org                                |                 1981 | 2005-04-01                        | DEEPA RAI RAKALI            | Senior Secondary Level | GOVT          | 2025-04-01                 | 2030-03-31               |           |
|          2480005 | AIR FORCE SCHOOL BAGDOGRA                              | WEST BENGAL | DARJEELING        | BAGDOGRA DISTT. DARJEELING WEST BENGAL                                                                                         |     734421 | www.airforceschoolbagdogra.com                     |                 1963 | 1963-04-01                        | SUNITHA P NAIR              | Senior Secondary Level | GOVT          | 2026-04-01                 | 2031-03-31               |           |
|          2480013 | AIR FORCE SCHOOL, KALAIKUNDA                           | WEST BENGAL | PASCHIM MEDINIPUR | AIR FORCE STATION, KALAIKUNDA, DIST: MEDINIPORE (WEST), WEST BENGAL - 721303                                                   |     721303 |                                                    |                 1959 | 1959-07-01                        | REEMA KOHLI                 | Middle Class           | INDEPENDENT   | 2010-04-01                 | 2013-03-31               |           |
|          2480022 | EASTERN RAILWAY HINDI SCHOOL                           | WEST BENGAL | HOWRAH            | 7, JENYNS ROAD, P.O. LILUAH,P.S. BELUR, DISTT. HOWRAH, STATE WEST BENGAL PIN-711204                                            |     711204 |                                                    |                 1948 | 2018-03-28                        | TAPASI MAJUMDER             | Secondary Level        | GOVT          | 2021-04-01                 | 2026-03-31               |           |
|          2490001 | CENTRAL SCHOOL FOR TIBETANS                            | WEST BENGAL | DARJEELING        | BHANU SARANI DARJEELING WEST BENGAL                                                                                            |     734101 | www.stsdarjeeling.in                               |                 1961 | 2007-08-21                        | KALSANG CHODON              | Senior Secondary Level | STSS          | 2023-04-01                 | 2029-03-31               |           |
|          2490003 | SAMBHOTA TIBETAN SCHOOL                                | WEST BENGAL | DARJEELING        | P O SONADA DARJEELING DISTT WEST BENGAL                                                                                        |     734219 |                                                    |                 1975 | 1991-04-01                        | YANGZOM                     | Secondary Level        | STSS          | 2024-04-01                 | 2029-03-31               |           |
|          2700004 | PM SHRI KENDRIYA VIDYALAYA                             | DELHI       | SOUTH DELHI       | SECTOR IV R K PURAM NEW DELHI                                                                                                  |     110022 | http://rkpuramsec4.kvs.ac.in/                      |                 1970 | 2000-01-01                        | RENU GUPTA                  | Senior Secondary Level | KV            | 2023-04-01                 | 2028-03-31               |           |
|          2720072 | NAVYUG SCHOOL (SENIOR)                                 | DELHI       | CENTRAL DELHI     | VINAY MARG CHANKYAPURI, DISTT CENTRAL DELHI, NEW DELHI                                                                         |     110075 | https://www.ndmc.gov.in/departments/Departments/Ed |                 2001 | 2004-04-01                        | RAJESH KUMAR                | Senior Secondary Level | GOVT          | 2022-04-01                 | 2030-03-31               |           |
|          2730048 | SALWAN PUBLIC SCHOOL                                   | DELHI       | CENTRAL DELHI     | RAJINDER NAGAR NEW DELHI                                                                                                       |     110060 | www.salwanpublicschool.edu.in                      |                 1953 | 2000-01-01                        | PRIYANKA BARARA             | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2730053 | SARASWATI BAL MANDIR                                   | DELHI       | CENTRAL DELHI     | JHANDEWALAN OPP NAAZ CINEMA NEW DELHI                                                                                          |     110055 |                                                    |                 1981 | 2019-03-27                        | ANJU SHARMA                 | Secondary Level        | INDEPENDENT   | 2019-04-01                 | 2024-03-31               |           |
|          2730128 | VARDHMAN SHIKSHA MANDIR SR SEC SCH                     | DELHI       | CENTRAL DELHI     | PADAM CHAND MARG DARYA GANJ, DISTT CENTRAL DELHI, NEW DELHI                                                                    |     110002 |                                                    |                 1976 | 1997-04-01                        | SUSHMA JAIN                 | Senior Secondary Level | INDEPENDENT   | 2023-04-01                 | 2028-03-31               |           |
|          2730351 | CRESCENT SCHOOL                                        | DELHI       | CENTRAL DELHI     | ZEENATUL MASJID ANSARI ROAD DARYAGANJ, DISTT CENTRAL DELHI, NEW DELHI                                                          |     110002 | crescentschooldaryaganj.com                        |                 1977 | 2003-07-01                        | FAUZIA MUMTAZ               | Senior Secondary Level | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          3400003 | KENDRIYA VIDYALAYA NO 1                                | JHARKHAND   | RANCHI            | SECTOR 2 HEAVY ENGG CORPN JAGANNATH NAGAR RANCHI JHARKHAND                                                                     |     834004 |                                                    |                 1974 | 2000-01-01                        | ANITA                       | Senior Secondary Level | KV            | 2022-04-01                 | 2027-03-31               |           |
|          3400013 | PM SHRI KENDRIYA VIDYALAYA                             | JHARKHAND   | RANCHI            | DIPATOLI P.O. RMCH RANCHI JHARKHAND                                                                                            |     834009 | https://dipatoli.kvs.ac.in                         |                 1979 | 2000-01-01                        | DIPANKAR SENAPATI           | Senior Secondary Level | KV            | 2025-04-01                 | 2031-03-31               |           |
|          3400016 | KENDRIYA VIDYALAYA                                     | JHARKHAND   | RANCHI            | CCL RAJENDRA NAGAR COLONY P O HEHAL RATU ROAD RANCHI JHARKHAND                                                                 |     834005 | www.kenvid1vasco.com                               |                 1984 | 1991-04-01                        | MEENA KUMARI TIRKEY         | Senior Secondary Level | KV            | 2021-04-01                 | 2026-03-31               |           |
|          3400020 | PM SHRI KENDRIYA VIDYALAYA                             | JHARKHAND   | RANCHI            | NAMKUM RANCHI JHARKHAND                                                                                                        |     834010 |                                                    |                 1986 | 2000-07-03                        | SOMIT KUMAR                 | Senior Secondary Level | KV            | 2025-04-01                 | 2031-03-31               |           |
|          3400025 | PM SHRI KENDRIYA VIDYALAYA                             | JHARKHAND   | RANCHI            | CRPF DHRUWA RANCHI JHARKHAND                                                                                                   |     834004 | https://crpfranchi.kvs.ac.in                       |                 1995 | 2000-01-01                        | KUSUM KUMARI                | Senior Secondary Level | KV            | 2022-04-01                 | 2027-03-31               |           |
|          3420111 | ASTVS DISTRICT CM SCHOOL OF EXCELLENCE, RANCHI         | JHARKHAND   | RANCHI            | UPPER BAZAR, RANCHI                                                                                                            |     834001 | https://jepc.jharkhand.gov.in/sW?udise=20140120009 |                 1839 | 2000-01-01                        | YASMEEN GALARIA             | Senior Secondary Level | GOVT          | 2023-04-01                 | 2028-03-31               |           |
|          3420124 | TVS CM SCHOOL OF EXCELLENCE JAGANNATHPUR RANCHI        | JHARKHAND   | RANCHI            | P.O. DHURWA, P.S. - JAGANNATHPUR                                                                                               |     834004 | https://jepc.jharkhand.gov.in/sW?udise=20140121504 |                 1951 | 2000-01-01                        | VACHA SARON TIGGA           | Senior Secondary Level | GOVT          | 2023-04-01                 | 2028-03-31               |           |
|          3420146 | KGBV NAMKUM                                            | JHARKHAND   | RANCHI            | NAMKUM, RANCHI                                                                                                                 |     834010 | https://jepc.jharkhand.gov.in/sW?udise=20140806605 |                 2006 | 2010-01-01                        | BAGESHWARI KUMARI           | Senior Secondary Level | GOVT          | 2023-04-01                 | 2028-03-31               |           |
|          3420165 | CM SCHOOL OF EXCELLENCE, KANKE, RANCHI                 | JHARKHAND   | RANCHI            | P.O. NEORI VIKAS, KANKE                                                                                                        |     835217 | https://modelschoolkanke.com/                      |                 2012 | 2000-01-01                        | ANAND PRAKASH MISHRA        | Senior Secondary Level | GOVT          | 2023-04-01                 | 2028-03-31               |           |
|          3420174 | CM SCHOOL OF EXCELLENCE GIRLS BARIATU RANCHI           | JHARKHAND   | RANCHI            | BARIATU, RANCHI                                                                                                                |     834009 | https://jepc.jharkhand.gov.in/sW?udise=20140116413 |                 1951 | 2000-01-01                        | DEEPAK KUMAR                | Senior Secondary Level | GOVT          | 2023-04-01                 | 2028-03-31               |           |
|          3420212 | EKLAVYA MODEL RESIDENTIAL SCHOOL BERO                  | JHARKHAND   | RANCHI            | AT LAMKANA, HANTHU, PO - BERO, PS - BERO                                                                                       |     825202 | https://emrs.jharkhand.gov.in/bero                 |                 2021 | 2025-01-01                        | PRABHAT KUMAR SHAHA         | Senior Secondary Level | GOVT          | 2026-04-01                 | 2031-03-31               |           |
|          3420213 | EKLAVYA MODEL RESIDENTIAL SCHOOL(EMRS), ANGARA         | JHARKHAND   | RANCHI            | VILLAGE - BENTI, PANCHAYAT - BISA, BLOCK - ANGARA, DISTRICT - RANCHI                                                           |     835103 | https://emrs.jharkhand.gov.in/Angara               |                 2024 | 2025-01-01                        | MADHU KUMARI                | Senior Secondary Level | GOVT          | 2026-04-01                 | 2031-03-31               |           |
|          3420215 | EKLAVYA MODEL RESIDENTIAL SCHOOL LAPUNG                | JHARKHAND   | RANCHI            | EKLAVYA MODEL RESIDENTIAL SCHOOL, LETE, LAPUNG                                                                                 |     835234 | https://emrs.jharkhand.gov.in/Lete                 |                 2024 | 2025-01-01                        | YASH                        | Senior Secondary Level | GOVT          | 2026-04-01                 | 2031-03-31               |           |
|          3420222 | EKLAVYA MODEL RESIDENTIAL SCHOOL BURMU                 | JHARKHAND   | RANCHI            | VILLAGE - DANDIYA, POST - BARE, BLOCK - BURMU P.S. - BURMU                                                                     |     835205 | https://emrs.jharkhand.gov.in/Burmu                |                 2025 | 2025-01-01                        | GAJENDRA KUMAR SAHU         | Senior Secondary Level | GOVT          | 2026-04-01                 | 2031-03-31               |           |
|          3430002 | VIKAS VIDYALAYA                                        | JHARKHAND   | RANCHI            | P O NEORI RANCHI JHARKHAND                                                                                                     |     835217 |                                                    |                 1952 | 2005-04-01                        | P S KALRA                   | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          3430004 | JAWAHAR VIDYA MANDIR                                   | JHARKHAND   | RANCHI            | SHYAMALI RANCHI P.O. HINOO JHARKHAND                                                                                           |     834002 |                                                    |                 1966 | 2005-04-01                        | SAMARJIT JANA               | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2030-03-31               |           |
|          3430005 | GURU NANAK HR. SEC SCHOOL                              | JHARKHAND   | RANCHI            | GURU NANAK PURA PEPE COMPOUND RANCHI JHARKHAND                                                                                 |     834001 |                                                    |                 1968 | 2008-04-15                        | SUMIT KAUR                  | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          3430006 | VIVEKANANDA VIDYA MANDIR                               | JHARKHAND   | RANCHI            | SECTOR II JAGANNATH NAGAR H E C COLONY RANCHI JHARKHAND                                                                        |     834004 | www.vivekanandavidyamandi                          |                 1970 | 1995-04-10                        | AMITAVA LAHA                | Senior Secondary Level | INDEPENDENT   | 2023-04-01                 | 2028-03-31               |           |
|          3430007 | LALA LAJPAT RAI BAL MANDIR                             | JHARKHAND   | RANCHI            | LAJPAT BHAWAN NEAR RAILWAY CROSSING KADRU ROAD RANCHI JHARKHAND                                                                |     834001 |                                                    |                 1968 | 2005-07-01                        | SAILENDRA KUMAR             | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          3430008 | D A V CO-OPERATIVE SR SEC SCHOOL                       | JHARKHAND   | RANCHI            | KHALARI RANCHI DISTT JHARKHAND                                                                                                 |     829205 |                                                    |                 1986 | 2007-06-21                        | KAMLESH KUMAR               | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          3430018 | D A V PUBIC SCHOOL                                     | JHARKHAND   | RANCHI            | SECTOR-III DHURWA RANCHI JHARKHAND                                                                                             |     834004 | www.davranchi.com                                  |                 1973 | 2000-07-01                        | DR. KANCHAN SINGH           | Senior Secondary Level | INDEPENDENT   | 2023-04-01                 | 2028-03-31               |           |
|          3430036 | CENTRAL ACADEMY                                        | JHARKHAND   | RANCHI            | BARIATU ROAD RANCHI JHARKHAND                                                                                                  |     834009 | www.mgmschoolitarsi.com                            |                 1966 | 1992-07-01                        | SUTAPA BHATTACHARIYA        | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          3430039 | G & H HIGH SCHOOL                                      | JHARKHAND   | RANCHI            | JAIL ROAD EAST DISTT RANCHI, JHARKHAND                                                                                         |     834001 | https://gnhschool.com/index                        |                 1985 | 2005-07-01                        | DILIP KUMAR JHA             | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
